id	word	phonetic	definition	example	translation	source
4870	scarcely	['skersli]	adv. 几乎不，简直不；简直没有	I could scarcely hear him in the noisy room.	在吵闹的房间里，我几乎听不见他说话。	Anki 高频单词6262
4871	scare	[sker]	n. 恐慌；惊吓；惊恐 / vt. 惊吓；把…吓跑 / adj. （美）骇人的 / vi. 受惊	I’m scared of thunder.	我害怕雷声。	Anki 高频单词6262
4872	scared	[skerd]	v. 使害怕（scare的过去分词） / adj. 害怕的	Look how scared they are although they're just green peppers.	看看他们有多害怕，虽然他们只是（小）青椒。	Anki 高频单词6262
4873	scarf	[skɑrf]	n. 围巾；嵌接，嵌接处；头巾领巾 / n. (Scarf)人名；(英)斯卡夫 / vt. 披嵌接；用围巾围	My scarf keeps my neck warm.	我的围巾让我的脖子保持温暖。	Anki 高频单词6262
4874	scarlet	['skɑrlət]	n. 猩红色；红衣；绯红色；鲜红色布 / adj. 深红的；鲜红色的；罪孽深重的；淫荡的 / n. (Scarlet)人名；(英)斯卡利特；(罗)斯卡尔莱特	That scarlet dress makes her look so sexy and beautiful.	这条鲜红色的裙子使她看上去性感又美丽。	Anki 高频单词6262
4875	scary	['skeri]	adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的	The house seems scary at night.	那栋房子晚上看起来很恐怖。	Anki 高频单词6262
4876	scatter	['skætər]	n. 分散；散播，撒播 / vt. 使散射；使散开，使分散；使散播，使撒播 / vi. 分散，散开；散射	The wind scattered the books in every direction.	风把书吹散到四面八方。	Anki 高频单词6262
4877	scattered	['skætərd]	adj. 分散的；散乱的	The toys were scattered across the floor.	玩具散落在地板上。	Anki 高频单词6262
4878	scenario	[səˈnɛrioʊ]	n. 方案；情节；剧本；设想	The poster outside the cinema showed the scenario of the film.	电影院外的海报展示了这部电影的剧情。	Anki 高频单词6262
4879	scene	[sin]	n. 场面；情景；景象；事件	The sunset over the road created quite a beautiful scene.	道路尽头的日落创造了一幅唯美的景象。	Anki 高频单词6262
4880	scenery	['sin(ə)ri]	n. 风景；景色；舞台布景	The leaves turn orange in autumn, which provides for some beautiful scenery.	这些树叶在秋天变成橘黄色，平添了许多美景。	Anki 高频单词6262
4881	scent	[sent]	n. 气味；嗅觉；痕迹；察觉能力 / vt. 闻到；发觉；使充满…的气味；循着遗臭追踪 / vi. 发出…的气味；有…的迹象；嗅着气味追赶 / n. (Scent)人名；(英)森特	Her scent is lovely; she must use perfume.	她身上很香，她肯定擦了香水。	Anki 高频单词6262
4882	sceptical	[ˈskeptɪk(ə)l ]	adj. 怀疑的；怀疑论的；习惯怀疑的	That doesn't sound right; I'm sceptical.	那听起来不对，我不相信。	Anki 高频单词6262
4883	schedule	['skedʒəl]	n. 时间表；计划表；一览表 / vt. 安排，计划；编制目录；将……列入计划表	According to my schedule, I have almost nothing to do today.	从我的时间表来看，我今天几乎没什么事做。	Anki 高频单词6262
4884	scheduled	['skedʒəld]	v. 安排（schedule的过去分词）；把…列表；把…列入计划 / adj. 预定的；已排程的	The meeting is scheduled for Monday morning.	会议预定在星期一上午举行。	Anki 高频单词6262
4885	scheme	[skim]	n. 计划；组合；体制；诡计 / vt. 计划；策划 / vi. 搞阴谋；拟订计划 / n. (Scheme)人名；(瑞典)谢默	This scheme shows how we should play the next game.	这个方案显示出我们下一场应该怎么打。	Anki 高频单词6262
4886	scholar	['skɑlər]	n. 学者；奖学金获得者	She’s so young, but she’s quite the little scholar.	她很小，但是已经是一个小小的学者啦。	Anki 高频单词6262
4887	scholarship	[ˈskɑlərˌʃɪp]	n. 奖学金；学识，学问	Mom, I just won a $50,000 scholarship to help pay for college!	妈妈，我得到了五万美元奖学金用来交学费！	Anki 高频单词6262
4888	school	[skul]	n. 学校；学院；学派；鱼群 / vt. 教育	I’ve met a lot of friends at school.	我在学校结识了很多朋友。	Anki 高频单词6262
4889	science	['saɪəns]	n. 科学；技术；学科；理科 / n. (Science)人名；(英)赛恩斯	This science study is very important.	这项科学研究很重要。	Anki 高频单词6262
4890	science fiction	[ˌsaɪəns ˈfɪkʃn ]	科幻小说	He enjoys reading science fiction before bed.	他喜欢睡前读科幻小说。	Anki 高频单词6262
4891	scientific	[.saɪən'tɪfɪk]	adj. 科学的，系统的	Be very careful when doing scientific experiments.	做科学实验时一定要小心。	Anki 高频单词6262
4892	scientist	[ˈsaɪəntɪst]	n. 科学家	The scientist is very careful with his study.	科学家对他的研究非常小心。	Anki 高频单词6262
4893	scissors	['sɪzərz]	n. 剪刀；剪式跳法 / v. 剪开；删除（scissor的第三人称单数）	Scissors can be fatal in my hands.	剪刀在我的手里就是凶器。	Anki 高频单词6262
4894	scope	[skoʊp]	n. 范围；余地；视野；眼界；导弹射程 / vt. 审视	The sniper looked through the scope to see the target.	狙击手从瞄准镜看出去瞄准目标。	Anki 高频单词6262
4895	score	[skɔr]	n. 分数；二十；配乐；刻痕 / vt. 获得；评价；划线，刻划；把…记下 / vi. 得分；记分；刻痕 / n. (Score)人名；(英)斯科尔	The score is 30 to 40.	得分是30：40。	Anki 高频单词6262
4896	scout	[skaʊt]	n. 搜索，侦察；侦察员；侦察机 / vt. 侦察；跟踪，监视；发现 / vi. 侦察；巡视；嘲笑	The businessman scouts out new markets for his product.	商人为他的产品侦查新市场。	Anki 高频单词6262
4897	scramble	['skræmb(ə)l]	n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登 / vi. 爬行，攀登；不规则地生长；仓促行动 / vt. 攀登；使混杂，仓促凑成；扰乱	The poor children scrambled for the food.	穷孩子争先恐后地抢食物。	Anki 高频单词6262
4898	scrap	[skræp]	n. 碎片；残余物；打架；少量 / vt. 废弃；使解体；拆毁 / adj. 废弃的；零碎的 / vi. 吵架	All these old cars will be used as scrap metal.	所有这些旧汽车都将当废金属利用。	Anki 高频单词6262
4899	scrape	[skreɪp]	n. 刮掉；擦痕；困境；刮擦声 / vt. 刮；擦伤；挖成 / vi. 刮掉；刮出刺耳声	I fell from the bike and scraped my elbow.	我从自行车上摔下来，擦伤了手肘。	Anki 高频单词6262
4900	scratch	[skrætʃ]	n. 擦伤；抓痕；刮擦声；乱写 / vt. 抓；刮；挖出；乱涂 / adj. 打草稿用的；凑合的；碰巧的 / vi. 抓；搔；发刮擦声；勉强糊口；退出比赛	Oh, it’s not too bad—it’s just a scratch.	哦，这还不算太糟，只是擦伤。	Anki 高频单词6262
4901	scream	[skrim]	n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人 / vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心 / vt. 尖声喊叫；大叫大嚷着要求	She could hear the man scream very loudly.	她听到了那个男人很大声地尖叫。	Anki 高频单词6262
4902	screen	[skrin]	n. 屏，幕；屏风 / vt. 筛；拍摄；放映；掩蔽 / vi. 拍电影 / n. (Screen)人名；(英)斯克林	The movie theater’s screen is so large!	这个电影院的屏幕好大！	Anki 高频单词6262
4903	screening	['skrinɪŋ]	n. 筛选；放映；[物] 屏蔽；审查；防波 / adj. 筛选的 / v. 筛选；拍摄（screen的ing形式）；遮蔽；隔挡	The school offered a free vision screening.	学校提供了一次免费的视力筛查。	Anki 高频单词6262
4904	screw	[skru]	n. 螺旋；螺丝钉；吝啬鬼 / vt. 旋，拧；压榨；强迫 / vi. 转动，拧	The screw is loose. Let me work on it.	那颗螺丝松了。让我来把它弄好。	Anki 高频单词6262
4905	script	[skrɪpt]	n. 脚本；手迹；书写用的字母 / vt. 把…改编为剧本 / vi. 写电影脚本	Have you read this script? It’s very funny.	你读过这个剧本了吗？很搞笑的。	Anki 高频单词6262
4906	scrutiny	['skrut(ə)ni]	n. 详细审查；监视；细看；选票复查	Every watch has to pass the scrutiny of the watch maker.	每块手表都需要通过制表商的仔细检查。	Anki 高频单词6262
4907	sculpture	[ˈskʌlptʃə]	n. 雕塑；雕刻；刻蚀 / vt. 雕塑；雕刻；刻蚀 / vi. 从事雕刻	This is an old sculpture.	这是一个古老的雕像。	Anki 高频单词6262
4908	sea	[si]	n. 海；海洋；许多；大量	I am sitting by the sea, and thinking.	我坐在海边沉思。	Anki 高频单词6262
4909	seal	[sil]	n. 密封；印章；海豹；封条；标志 / vt. 密封；盖章 / vi. 猎海豹 / n. (Seal)人名；(英)西尔	The letter had a red seal.	这封信有枚红色的火漆封印。	Anki 高频单词6262
4910	sealed	[sild]	v. 封闭；盖印（seal的过去分词） / adj. 密封的；未知的	The letter was sealed in a white envelope.	这封信被密封在一个白色信封里。	Anki 高频单词6262
4911	search	[sɜrtʃ]	n. 搜寻；探究，查究 / vt. 搜索；搜寻；调查；搜查；探求 / vi. 搜寻；调查；探求 / n. (Search)人名；(英)瑟奇	The man is searching for something.	这个男士在找东西。	Anki 高频单词6262
4912	search engine		搜索引擎	I used a search engine to find the answer.	我用搜索引擎找到了答案。	Anki 高频单词6262
4913	seaside	[ˈsiˌsaɪd]	n. 海边；海滨 / adj. 海边的；海滨的	I hope we can take a vacation on the seaside.	我希望我们能去海边度假。	Anki 高频单词6262
4914	season	['siz(ə)n]	n. 时期；季节；赛季 / vt. 给…调味；使适应 / vi. 变得成熟；变干燥	The four seasons are spring, summer, autumn, and winter.	四季是指春夏秋冬。	Anki 高频单词6262
4915	seasonal	['siz(ə)nəl]	adj. 季节的；周期性的；依照季节的	I always look forward to the seasonal falling of the leaves.	我总是很期待树叶的季节性掉落。	Anki 高频单词6262
4916	seat	[sit]	n. 座位；所在地；职位 / vt. 使…坐下；可容纳…的；使就职	There are many seats in the cinema.	电影院有许多座位。	Anki 高频单词6262
4917	second	['sekənd]	num. 第二 / n. 秒；第二名；瞬间；二等品 / adj. 第二的；次要的；附加的 / vt. 支持 / adv. 第二；其次；居第二位 / n. (Second)人名；(法)塞孔	He always takes the second place in badminton competitions.	他是羽毛球赛的千年老二。	Anki 高频单词6262
4918	secondary	['sekən.deri]	n. 副手；代理人 / adj. 第二的；中等的；次要的；中级的	He took the silver medal, which is secondary in importance.	他取得了第二重要的银牌。	Anki 高频单词6262
4919	second-hand	[ˌsekənd ˈhænd ]	adj. 旧的，二手的 / adv. 间接地，第二手地	She bought a second-hand bike for school.	她买了一辆二手自行车上学用。	Anki 高频单词6262
4920	secondly	['sekən(d)li]	adv. 其次；第二	Firstly, read the question; secondly, choose the answer.	首先读题，其次选择答案。	Anki 高频单词6262
4921	secret	[ˈsiːkrət]	n. 秘密；秘诀；机密 / adj. 秘密的；机密的 / n. (Secret)人名；(法)塞克雷	The little girl tells her secrets to her friend.	这个小女孩给朋友讲自己的秘密。	Anki 高频单词6262
4922	secretary	['sekrə.teri]	n. 秘书；书记；部长；大臣	My secretary gives me papers to sign.	我的秘书给了我一些文件签字。	Anki 高频单词6262
4923	secretary-general	[ˌsekrəteri ˈdʒenrəl ]	n. 秘书长；总书记	The secretary-general spoke at the meeting.	秘书长在会议上发言。	Anki 高频单词6262
4924	section	['sekʃ(ə)n]	n. 截面；部分；部门；地区；章节 / vt. 把…分段；将…切片；对…进行划分 / vi. 被切割成片；被分成部分	You can find jobs in the classifieds section of the newspaper.	你能在报纸的分类单元找到工作。	Anki 高频单词6262
4925	sector	['sektər]	n. 部门；扇形，扇区；象限仪；函数尺 / vt. 把…分成扇形	All sectors of the economy are vital to the continued prosperity of our people.	经济的各个方面都与我们人民的可持续繁荣发展息息相关。	Anki 高频单词6262
4926	secular	['sekjələr]	n. 修道院外的教士，(对宗教家而言的) 俗人 / adj. 世俗的；长期的；现世的；不朽的	You can't imagine how lonely a monk is if he sees through this secular world.	看破红尘更寂寞，谁人普度和尚魂。	Anki 高频单词6262
4927	secure	[sɪ'kjʊr]	vt. 保护；弄到；招致；缚住 / adj. 安全的；无虑的；有把握的；稳当的 / vi. 获得安全；船抛锚；停止工作	I have a lot of anti-virus software to keep my computer secure.	我有很多防毒软件来确保我电脑的安全。	Anki 高频单词6262
4928	security	[sɪ'kjʊrəti]	n. 安全；保证；证券；抵押品 / adj. 安全的；保安的；保密的	There’s no security software on this computer; no wonder you’ve been hacked!	这台电脑没有防护软件，难怪你被黑了。	Anki 高频单词6262
4929	see	[si]	vi. 看；看见；领会 / vt. 看见；理解；领会 / n. (See)人名；(英)西伊；(柬)塞；(德)泽	I can see far.	我可以看很远。	Anki 高频单词6262
4930	seed	[sid]	n. 种子；根据；精液；萌芽；子孙；原由 / vt. 播种；结实；成熟；去…籽 / vi. 播种；（植物）结实 / n. (Seed)人名；(英)锡德	The seeds in the soil will grow into plants next year.	土壤里的种子明年就会长成植物啦。	Anki 高频单词6262
4931	seek	[sik]	vt. 寻求；寻找；探索；搜索 / vi. 寻找；探索；搜索	Let’s play hide and seek!	让我们来玩捉迷藏吧！	Anki 高频单词6262
4932	seem	[sim]	vi. 似乎；像是；装作 / n. (Seem)人名；(英)西姆	Look at the sky. It seems to rain.	快看天空，好像要下雨了。	Anki 高频单词6262
4933	seemingly	[ˈsimɪŋli]	adv. 看来似乎；表面上看来	He was seemingly happy but we didn’t know how sad he really was.	他表面上看起来很开心，但我们都不知道他其实有多难过。	Anki 高频单词6262
4934	segment	['seɡmənt]	n. 段；部分 / vt. 分割 / vi. 分割	Our company dominates a small segment of the market.	我们公司占有了一小部分市场。	Anki 高频单词6262
4935	seize	[siz]	vt. 抓住；夺取；理解；逮捕 / vi. 抓住；利用；（机器）卡住	I’m seizing this money—I need it the most.	我很需要这些钱，所以紧紧攥着。	Anki 高频单词6262
4936	seldom	['seldəm]	adv. 很少，不常	Seldom do you find a clover with four leaves instead of three.	相比三叶草，四叶草更难被找到。	Anki 高频单词6262
4937	select	[sɪ'lekt]	n. 被挑选者；精萃 / adj. 精选的；挑选出来的；极好的 / vt. 挑选；选拔 / vi. 挑选	Which dress do you think I should select?	你觉得我应该选哪条裙子？	Anki 高频单词6262
4938	selection	[sɪ'lekʃ(ə)n]	n. 选择，挑选；选集；精选品	Our nursery offers a selection of spring flowers of many different colors.	我们的苗圃有各种颜色的春季花卉可供挑选。	Anki 高频单词6262
4939	selective	[sɪ'lektɪv]	adj. 选择性的 讲究的 有选择地 有选择性地 仔细挑选地	This school is very selective about new students.	这所学校对新生的选择很严格。	Anki 高频单词6262
4940	self	[self]	n. 自己，自我；本质；私心 / adj. 同一的 / vt. 使自花授精；使近亲繁殖 / vi. 自花授精 / n. (Self)人名；(英)塞尔夫	I only love my own self in the whole world!	我只爱我自己！	Anki 高频单词6262
4941	self-discipline	[ˌself ˈdɪsəplɪn ]	n. 自律；自我修养；自我训练	Self-discipline helps students study every day.	自律帮助学生每天学习。	Anki 高频单词6262
4942	self-esteem	[ˌself ɪˈstiːm ]	n. 自尊；自负；自大	Kind words can improve a child's self-esteem.	友善的话语可以提高孩子的自尊。	Anki 高频单词6262
4943	selfish	['selfɪʃ]	adj. 自私的；利己主义的	Don’t be selfish—you can’t smoke around a pregnant woman!	不要太自私了——你不能在孕妇周围吸烟！	Anki 高频单词6262
4944	sell	[sel]	n. 销售；失望；推销术 / vt. 销售；推销；出卖；欺骗 / vi. 卖；出售；受欢迎；有销路 / n. (Sell)人名；(德)泽尔；(英、芬、瑞典)塞尔	I need money, so I will sell my house.	我需要钱，所以我要卖掉我的房子。	Anki 高频单词6262
4945	seller	['selər]	n. 卖方，售货员 / n. (Seller)人名；(匈)谢勒；(西)塞列尔	The seller gave me a good price.	卖家给了我一个好价格。	Anki 高频单词6262
4946	semantic	[sə'mæntɪk]	adj. 语义的；语义学的（等于semantical）	The semantic meaning of a word can change in context.	一个词的语义会随着语境而改变。	Anki 高频单词6262
4947	semifinal	[ˌsɛmaɪˈfaɪn(ə)l]	n. 半决赛 / adj. 半决赛的	Our team reached the semifinal last night.	我们队昨晚进入了半决赛。	Anki 高频单词6262
4948	seminar	['semɪ.nɑr]	n. 讨论会，研讨班	Those who attended the seminar learnt a lot.	参加研讨会的人学到了很多东西。	Anki 高频单词6262
4949	senate	['senət]	n. 参议院，上院；（古罗马的）元老院	Will the American Senate ever get anything done?!	美国参议院真的办好过什么事吗？	Anki 高频单词6262
4950	senator	['senətər]	n. 参议员	The senator has a strong record of community service.	这个参议员在社区服务中有良好的记录。	Anki 高频单词6262
4951	send	[send]	n. 上升运动 / vi. 派人；寄信 / vt. 发送，寄；派遣；使进入；发射 / n. (Send)人名；(德)森德	I am going to send this letter out.	我要把这封信寄出去。	Anki 高频单词6262
4952	senior	['sinjər]	n. 上司；较年长者；毕业班学生 / adj. 高级的；年长的；地位较高的；年资较深的，资格较老的 / n. (Senior)人名；(英)西尼尔	Senior citizens should be respected.	年长的人应该被尊重。	Anki 高频单词6262
4953	sensation	[senˈseɪʃ(ə)n]	n. 感觉；轰动；感动	This strange sensation in my heart - could it be love?	在我心里有种奇怪的感觉，难道这就是爱吗？	Anki 高频单词6262
4954	sense	[sens]	n. 感觉，功能；观念；道理；理智 / vt. 感觉到；检测 / n. 森斯（人名）	I can read with my sense of touch.	我能凭借我的触觉读书。	Anki 高频单词6262
4955	sensible	['sensəb(ə)l]	n. 可感觉到的东西; 敏感的人; / adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;	It’s sensible to avoid drinking or smoking too much.	避免喝太多酒和抽太多烟是很明智的。	Anki 高频单词6262
4956	sensitive	['sensətɪv]	adj. 敏感的；感觉的；[仪] 灵敏的；感光的；易受伤害的；易受影响的 / n. 敏感的人；有灵异能力的人	This area here is very sensitive—it hurts when I chew.	这个区域很敏感，当我咀嚼的时候会痛。	Anki 高频单词6262
4957	sensitivity	[.sensə'tɪvəti]	n. 敏感；敏感性；过敏	I love him for his sensitivity and his ability to express his feelings.	我爱他，因为他敏感又善于表达。	Anki 高频单词6262
4958	sentence	['sent(ə)ns]	n. [语][计] 句子，命题；宣判，判决 / vt. 判决，宣判	I sentence you to prison for a year.	我判你入狱一年！	Anki 高频单词6262
4959	sentiment	['sentɪmənt]	n. 感情，情绪；情操；观点；多愁善感	The couple shares a lot of deep sentiment.	这对夫妇有着深厚的感情。	Anki 高频单词6262
4960	separate	['sep(ə).reɪt]	n. .分开；抽印本 / adj. 单独的；分开的；不同的；各自的； / vt. 使分离；使分开；使分居 / vi. 分开；隔开；分居	She separated with her boyfriend at the train station.	她在车站和男朋友分别了。	Anki 高频单词6262
4961	separation	[.sepə'reɪʃ(ə)n]	n. 分离，分开；间隔，距离；[法] 分居；缺口	Their separation was heartbreaking for both of them.	他们的分手对于他们俩来说都是很心碎的感觉。	Anki 高频单词6262
4962	September	[sep'tembər]	n. 九月	In September the weather turns cooler and some trees' leaves turn brown.	九月，天气开始变凉，有些树的叶子枯萎了。	Anki 高频单词6262
4963	sequence	['sikwəns]	n. [数][计] 序列；顺序；续发事件 / vt. 按顺序排好	The moon changes in a predictable monthly sequence.	月相每个月都会按照一个可预知的顺序发生变化。	Anki 高频单词6262
4964	sergeant	['sɑrdʒənt]	n. 军士；警察小队长；海军陆战队中士；高等律师 / n. (Sergeant)人名；(英)萨金特；(法)塞尔让	Since I was such a good soldier, they promoted me to sergeant.	因为我是个好士兵，所以他们提拔我为中士。	Anki 高频单词6262
4965	serial	['sɪriəl]	n. 电视连续剧；[图情] 期刊；连载小说 / adj. 连续的；连载的；分期偿还的	Looks like the Chairman has got himself several QQ accounts hidden in the serial numbers.	看起来主席马甲不少啊，还连号呢。***	Anki 高频单词6262
4966	series	['sɪriz]	n. 系列，连续；[电] 串联；级数；丛书	For this card trick, please put the cards in series first.	要做这个纸牌戏法，请先把牌按顺序放好。	Anki 高频单词6262
4967	serious	['sɪriəs]	adj. 严肃的，严重的；认真的；庄重的；危急的	Why so serious? Lighten up, smile more!	怎么如此严肃？高兴起来，多笑笑！	Anki 高频单词6262
4968	seriously	['sɪriəsli]	adv. 认真地；严重地，严肃地	He studied the photo very seriously.	他仔细地研究了这张照片。	Anki 高频单词6262
4969	servant	['sɜrvənt]	n. 仆人，佣人；公务员；雇工 / n. (Servant)人名；(西)塞尔万特；(法)塞尔旺	The servant served them with drinks.	这个佣人给他们送上了饮料。	Anki 高频单词6262
4970	serve	[sɜrv]	n. 发球，轮到发球 / vi. 服役，服务；适合，足够；发球；招待，侍候 / vt. 招待，供应；为…服务；对…有用；可作…用 / n. (Serve)人名；(法)塞尔夫	The man served the old lady and man with drinks.	这个男人用喝的招待年长的男士和女士。	Anki 高频单词6262
4971	server	['sɜ:və(r)]	n. 发球员；服伺者；服勤者；伺候者 / n. (Server)人名；(土)塞尔韦尔	The server is friendly.	服务生态度很友好。	Anki 高频单词6262
4972	service	['sɜrvɪs]	n. 服务，服侍；服役；仪式 / adj. 服务性的；耐用的；服现役的 / vt. 维修，检修；保养 / n. (Service)人名；(英)瑟维斯	She gave us a good service at the dinner.	晚餐的时候，她给了我们很好的服务。	Anki 高频单词6262
4973	serving	['sɜrvɪŋ]	n. 服务；上菜；一份食物 / v. 服务（serve的ing形式） / adj. 用于上菜的 / n. (Serving)人名；(瑞典)塞尔温	One serving of soup was enough for me.	一份汤对我来说就够了。	Anki 高频单词6262
4974	session	[ˈseʃ(ə)n]	n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会	An important session was held on investment policies.	一个关于投资政策的重要会议召开了。	Anki 高频单词6262
4975	set	[set]	n. [数] 集合；一套；布景；[机] 装置 / adj. 固定的；规定的；固执的 / vi. (日,月)落沉；凝固；结果 / vt. 树立；点燃；点缀； / n. (Set)人名；(瑞典)塞特；(俄)谢特	You want set B？	您要的是优惠装B？	Anki 高频单词6262
4976	setting	['setɪŋ]	n. 环境；安装；布置；[天] 沉落 / v. 放置；沉没；使…处于某位置（set的ing形式）	An electrician was called to check the machine’s settings.	电工被叫来检查机器的设置。	Anki 高频单词6262
4977	settle	['set(ə)l]	n. 有背长椅 / vi. 解决；定居；沉淀；下陷 / vt. 解决；安排；使…定居 / n. (Settle)人名；(英)塞特尔	They want to get settled in this house.	他们想在这个房子里安顿下来。	Anki 高频单词6262
4978	settlement	['set(ə)lmənt]	n. 解决，处理；[会计] 结算；沉降；殖民	Let’s work together; I think we can come to some kind of settlement.	让我们合作吧，我想我们能解决它。	Anki 高频单词6262
4979	settler	['setlər]	n. 移居者；殖民者 / n. (Settler)人名；(德)泽特勒	The settlers traveled very far.	这些移民者经历了长途跋涉。	Anki 高频单词6262
4980	several	['sevrəl]	adj. 几个的；各自的 / pron. 几个；数个	I have several apples for you!	我给你准备了几个苹果！	Anki 高频单词6262
4981	severe	[sɪ'vɪr]	adj. 严峻的；严厉的；剧烈的；苛刻的	The thunderstorms are very severe; I’ve seen lightning countless times tonight.	暴风雨很猛烈，我今晚都看了无数次闪电了。	Anki 高频单词6262
4982	severely	[sɪ'vɪrli]	adv. 严重地；严格地，严厉地；纯朴地	"""You are awful parents!"", our little daughter told us severely."	“你们是差劲的父母！”， 小女儿严厉地告诉我们。	Anki 高频单词6262
4983	sew	[soʊ]	vt. 缝合，缝上；缝纫 / vi. 缝纫，缝	A sewing machine can sew so much faster than my hand.	缝纫机比手工缝制快多了。	Anki 高频单词6262
4984	sewing	['soʊɪŋ]	n. 缝纫；缝纫业 / v. 缝（sew的ing形式） / n. (Sewing)人名；(德)泽温；(英)索英	My mother is sewing a button on my shirt.	我妈妈正在给我的衬衫缝纽扣。	Anki 高频单词6262
4985	sex	[seks]	n. 性；性别；性行为；色情 / vt. 引起…的性欲；区别…的性别	The form asks for your name and sex.	这张表需要填上您的名字和性别。	Anki 高频单词6262
4986	sexual	['sekʃuəl]	adj. 性的；性别的；有性的	A happy family is based on sexual equality.	一个幸福的家庭是建立在男女平等的基础上。	Anki 高频单词6262
4987	sexuality	[.sekʃu'æləti]	n. [胚] 性别；性欲；性征；性方面的事情（比如性行为或性能力）	The health class discussed sexuality in a respectful way.	健康课以尊重的方式讨论了性方面的话题。	Anki 高频单词6262
4988	sexy	['seksi]	adj. 性感的；迷人的；色情的	Some people think the red sports car looks sexy.	有些人觉得那辆红色跑车看起来很迷人。	Anki 高频单词6262
4989	shade	[ʃeɪd]	n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别 / vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖 / vi. （颜色、色彩等）渐变 / n. (Shade)人名；(英、德)谢德	It’s so pleasant to rest here in the shade of the tree!	在树荫下休息太舒服了。	Anki 高频单词6262
4990	shadow	['ʃædoʊ]	n. 阴影；影子；幽灵；庇护；隐蔽处 / adj. 影子内阁的 / vt. 遮蔽；使朦胧；尾随；预示 / vi. 渐变；变阴暗	I could see the boy's shadow on the ground as he played soccer.	这个男孩踢球的时候我能看到他映在地上的影子。	Anki 高频单词6262
4991	shaft	[ʃæft]	n. 拍杆；[机] 轴；箭杆；杆状物 / vt. 利用；在……上装杆	A croquet mallet has a thin shaft and a heavy head.	长柄木槌包含一个细的柄和一个沉重的木槌。	Anki 高频单词6262
4992	shake	[ʃeɪk]	n. 摇动；哆嗦 / vt. 动摇；摇动；震动；握手 / vi. 动摇；摇动；发抖	The girl is shaking her head.	这个女孩正在摇晃她的头。	Anki 高频单词6262
4993	shall	[ʃəl]	aux. 应；会；将；必须	She shall go to the party.	她会去派对的。	Anki 高频单词6262
4994	shallow	['ʃæloʊ]	n. [地理] 浅滩 / adj. 浅的；肤浅的 / vt. 使变浅 / vi. 变浅 / n. (Shallow)人名；(英)沙洛	This kind of fish only lives in shallow water.	这种鱼只能在浅水中存活。	Anki 高频单词6262
4995	shame	[ʃeɪm]	n. 羞耻，羞愧；憾事，带来耻辱的人 / vt. 使丢脸，使羞愧 / n. (Shame)人名；(科特)沙梅	She covers her face in shame.	她羞愧地遮住了脸。	Anki 高频单词6262
4996	shape	[ʃeɪp]	n. 形状；模型；身材；具体化 / vt. 形成；塑造，使成形；使符合 / vi. 形成；成形；成长 / n. (Shape)人名；(瑞典)沙佩	With these tools, we can make cookies into different shapes.	我们可以使用这些工具做出不同形状的饼干。	Anki 高频单词6262
4997	share	[ʃer]	n. 份额；股份 / vt. 分享，分担；分配 / vi. 共享；分担 / n. (Share)人名；(阿拉伯)沙雷	Would you like to share some ice cream with me?	你愿意和我分享一些冰淇淋吗？	Anki 高频单词6262
4998	shareholder	['ʃer.hoʊldər]	n. 股东；股票持有人	Shareholders are expecting rapid market growth by next month.	股东们期望下个月市场快速增长。	Anki 高频单词6262
4999	shark	[ʃɑː(r)k]	n. 鲨鱼；骗子 / vt. 敲诈 / vi. 诈骗	I think the shark wants to eat me!	我觉得这只鲨鱼想吃掉我！	Anki 高频单词6262
5000	sharp	[ʃɑrp]	n. 尖头；骗子；内行 / adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的 / vt. 磨快；把音调升高 / adv. 急剧地；锐利地；突然地 / vi. 打扮；升音演奏 / n. (Sharp)人名；(英)夏普	This knife is very sharp!	这把刀很锋利！	Anki 高频单词6262
5001	sharpen	['ʃɑrpən]	vt. 削尖；磨快；使敏捷；加重 / vi. 尖锐；变锋利	You must sharpen your pencil if you want to use it.	如果你想用铅笔的话，要先削尖它。	Anki 高频单词6262
5002	sharply	['ʃɑrpli]	adv. 急剧地；锐利地	The birth rate went down sharply after extensive use of contraceptives.	在推广使用避孕措施以后，出生率急剧下降。	Anki 高频单词6262
5003	shatter	[ˈʃætə(r)]	n. 碎片；乱七八糟的状态 / vt. 粉碎；打碎；破坏；破掉；使散开 / vi. 粉碎；损坏；落叶	Oh, no--something completely shattered our windows.	噢，别！什么东西把咱们的窗户打碎了。	Anki 高频单词6262
5004	shave	[ʃeɪv]	vi. 剃须，剃毛 / vt. 剃，削去；修剪；切成薄片；掠 / n. 刮脸，剃胡子；修面；侥幸逃过，幸免；剃刀，刮刀	Why are you shaving? You can’t even grow a beard!	为什么你要刮胡子?你连胡子都还没长出来呢！	Anki 高频单词6262
